VelControlTask  ,79.822,L,-199.589, 0.000,R,199.589, 0.000
VelControlTask  ,79.823,L,-200.347, 0.000,R,200.347, 0.000
VelControlTask  ,79.824,L,-201.077, 0.000,R,201.077, 0.000
VelControlTask  ,79.825,L,-201.791, 0.000,R,201.791, 0.000
VelControlTask  ,79.826,L,-202.473,-2.557,R,202.473, 0.000
VelControlTask  ,79.827,L,-203.149,-19.175,R,203.149,17.896
VelControlTask  ,79.828,L,-203.799,-37.071,R,203.799,37.071
VelControlTask  ,79.829,L,-204.435,-58.803,R,204.435,56.246
VelControlTask  ,79.830,L,-205.041,-88.204,R,205.041,85.647
VelControlTask  ,79.831,L,-205.627,-95.874,R,205.627,100.987
VelControlTask  ,79.832,L,-206.194,-116.327,R,206.194,123.997
VelControlTask  ,79.833,L,-206.747,-150.841,R,206.747,148.285
VelControlTask  ,79.834,L,-207.275,-162.346,R,207.275,148.285
VelControlTask  ,79.835,L,-207.780,-203.252,R,207.780,182.799
VelControlTask  ,79.836,L,-208.267,-226.262,R,208.267,212.201
VelControlTask  ,79.837,L,-208.730,-236.489,R,208.730,240.324
VelControlTask  ,79.838,L,-209.178,-273.560,R,209.178,267.168
VelControlTask  ,79.839,L,-209.597,-287.621,R,209.597,295.291
VelControlTask  ,79.840,L,-210.004,-310.631,R,210.004,295.291
VelControlTask  ,79.841,L,-210.382,-315.744,R,210.382,323.414
VelControlTask  ,79.842,L,-210.743,-343.867,R,210.743,345.146
VelControlTask  ,79.843,L,-211.081,-351.537,R,211.081,359.207
VelControlTask  ,79.844,L,-211.400,-370.712,R,211.400,361.764
VelControlTask  ,79.845,L,-211.698,-369.434,R,211.698,377.104
VelControlTask  ,79.846,L,-211.974,-377.104,R,211.974,375.825
VelControlTask  ,79.847,L,-212.227,-370.712,R,212.227,382.217
VelControlTask  ,79.848,L,-212.459,-361.764,R,212.459,377.104
VelControlTask  ,79.849,L,-212.673,-355.372,R,212.673,369.434
VelControlTask  ,79.850,L,-212.865,-348.981,R,212.865,361.764
VelControlTask  ,79.851,L,-213.035,-337.476,R,213.035,341.311
VelControlTask  ,79.852,L,-213.181,-323.414,R,213.181,334.919
VelControlTask  ,79.853,L,-213.308,-317.023,R,213.308,322.136
VelControlTask  ,79.854,L,-213.413,-300.405,R,213.413,311.909
VelControlTask  ,79.855,L,-213.499,-294.013,R,213.499,302.961
VelControlTask  ,79.856,L,-213.564,-282.508,R,213.564,304.240
VelControlTask  ,79.857,L,-213.604,-295.291,R,213.604,287.621
VelControlTask  ,79.858,L,-213.622,-286.343,R,213.622,278.673
VelControlTask  ,79.859,L,-213.621,-278.673,R,213.621,253.107
VelControlTask  ,79.860,L,-213.599,-271.003,R,213.599,245.437
VelControlTask  ,79.861,L,-213.558,-242.880,R,213.558,231.375
VelControlTask  ,79.862,L,-213.492,-231.375,R,213.492,231.375
VelControlTask  ,79.863,L,-213.404,-219.871,R,213.404,216.036
VelControlTask  ,79.864,L,-213.295,-208.366,R,213.295,203.252
VelControlTask  ,79.865,L,-213.167,-184.078,R,213.167,181.521
VelControlTask  ,79.866,L,-213.017,-187.913,R,213.017,172.573
VelControlTask  ,79.867,L,-212.847,-168.738,R,212.847,153.398
VelControlTask  ,79.868,L,-212.650,-162.346,R,212.650,154.676
VelControlTask  ,79.869,L,-212.435,-148.285,R,212.435,138.058
VelControlTask  ,79.870,L,-212.200,-154.676,R,212.200,140.615
VelControlTask  ,79.871,L,-211.945,-136.780,R,211.945,130.388
VelControlTask  ,79.872,L,-211.668,-143.172,R,211.668,126.553
VelControlTask  ,79.873,L,-211.368,-130.388,R,211.368,126.553
VelControlTask  ,79.874,L,-211.047,-130.388,R,211.047,113.770
VelControlTask  ,79.875,L,-210.703,-129.110,R,210.703,113.770
VelControlTask  ,79.876,L,-210.342,-115.049,R,210.342,113.770
VelControlTask  ,79.877,L,-209.961,-113.770,R,209.961,106.100
VelControlTask  ,79.878,L,-209.558,-108.657,R,209.558,111.214
VelControlTask  ,79.879,L,-209.128,-100.987,R,209.128,106.100
VelControlTask  ,79.880,L,-208.682,-106.100,R,208.682,98.430
VelControlTask  ,79.881,L,-208.212,-102.265,R,208.212,95.874
VelControlTask  ,79.882,L,-207.731,-94.595,R,207.731,103.544
VelControlTask  ,79.883,L,-207.221,-95.874,R,207.221,102.265
VelControlTask  ,79.884,L,-206.691,-99.709,R,206.691,112.492
VelControlTask  ,79.885,L,-206.136,-99.709,R,206.136,127.832
VelControlTask  ,79.886,L,-205.566,-112.492,R,205.566,129.110
VelControlTask  ,79.887,L,-204.977,-132.945,R,204.977,145.728
VelControlTask  ,79.888,L,-204.363,-136.780,R,204.363,152.120
VelControlTask  ,79.889,L,-203.732,-152.120,R,203.732,167.460
VelControlTask  ,79.890,L,-203.079,-147.006,R,203.079,172.573
VelControlTask  ,79.891,L,-202.408,-175.129,R,202.408,187.913
VelControlTask  ,79.892,L,-201.710,-185.356,R,201.710,198.139
VelControlTask  ,79.893,L,-201.000,-204.531,R,201.000,216.036
VelControlTask  ,79.894,L,-200.263,-213.479,R,200.263,224.984
VelControlTask  ,79.895,L,-199.517,-227.540,R,199.517,232.654
VelControlTask  ,79.896,L,-198.737,-236.489,R,198.737,247.994
VelControlTask  ,79.897,L,-197.946,-251.829,R,197.946,256.942
VelControlTask  ,79.898,L,-197.128,-263.333,R,197.128,272.282
VelControlTask  ,79.899,L,-196.300,-262.055,R,196.300,267.168
VelControlTask  ,79.900,L,-195.448,-282.508,R,195.448,279.951
