VelControlTask  ,11.398,Cmd,-0.001, Enc, 0.000, Gyro, 0.000
VelControlTask  ,11.399,Cmd,-0.001, Enc, 0.000, Gyro, 0.000
VelControlTask  ,11.400,Cmd,-0.001, Enc, 0.000, Gyro,-0.001
VelControlTask  ,11.401,Cmd, 0.000, Enc, 0.000, Gyro, 0.000
VelControlTask  ,11.402,Cmd, 0.000, Enc, 0.000, Gyro, 0.003
VelControlTask  ,11.403,Cmd, 0.000, Enc, 0.000, Gyro, 0.003
VelControlTask  ,11.404,Cmd, 0.000, Enc, 0.000, Gyro, 0.002
VelControlTask  ,11.405,Cmd, 0.000, Enc, 0.000, Gyro, 0.000
VelControlTask  ,11.406,Cmd,-0.001, Enc, 0.000, Gyro,-0.001
VelControlTask  ,11.407,Cmd,-0.001, Enc, 0.000, Gyro, 0.000
VelControlTask  ,11.408,Cmd,-0.001, Enc, 0.000, Gyro, 0.002
VelControlTask  ,11.409,Cmd,-0.001, Enc, 0.000, Gyro, 0.000
VelControlTask  ,11.410,Cmd,-0.001, Enc, 0.000, Gyro,-0.002
VelControlTask  ,11.411,Cmd,-0.000, Enc, 0.000, Gyro, 0.000
VelControlTask  ,11.412,Cmd,-0.000, Enc, 0.000, Gyro, 0.004
VelControlTask  ,11.413,Cmd,-0.000, Enc, 0.000, Gyro, 0.000
VelControlTask  ,11.414,Cmd,-0.000, Enc, 0.000, Gyro, 0.000
VelControlTask  ,11.415,Cmd,-0.000, Enc, 0.000, Gyro, 0.003
VelControlTask  ,11.416,Cmd,-0.001, Enc, 0.000, Gyro, 0.003
VelControlTask  ,11.417,Cmd,-0.001, Enc, 0.000, Gyro, 0.002
VelControlTask  ,11.418,Cmd,-0.001, Enc, 0.000, Gyro, 0.000
VelControlTask  ,11.419,Cmd,-0.001, Enc, 0.000, Gyro, 0.002
VelControlTask  ,11.420,Cmd,-0.001, Enc, 0.000, Gyro, 0.003
VelControlTask  ,11.421,Cmd,-0.002, Enc, 0.000, Gyro, 0.004
VelControlTask  ,11.422,Cmd,-0.002, Enc, 0.000, Gyro, 0.005
VelControlTask  ,11.423,Cmd,-0.002, Enc, 0.000, Gyro, 0.004
VelControlTask  ,11.424,Cmd,-0.002, Enc, 0.000, Gyro, 0.003
VelControlTask  ,11.425,Cmd,-0.002, Enc, 0.000, Gyro, 0.003
VelControlTask  ,11.426,Cmd,-0.003, Enc, 0.000, Gyro, 0.002
VelControlTask  ,11.427,Cmd,-0.003, Enc, 0.000, Gyro, 0.002
VelControlTask  ,11.428,Cmd,-0.003, Enc, 0.000, Gyro, 0.002
VelControlTask  ,11.429,Cmd,-0.003, Enc, 0.000, Gyro, 0.002
VelControlTask  ,11.430,Cmd,-0.003, Enc, 0.000, Gyro, 0.003
VelControlTask  ,11.431,Cmd,-0.002, Enc, 0.000, Gyro, 0.003
VelControlTask  ,11.432,Cmd,-0.002, Enc, 0.000, Gyro, 0.000
VelControlTask  ,11.433,Cmd,-0.002, Enc, 0.000, Gyro, 0.002
VelControlTask  ,11.434,Cmd,-0.002, Enc, 0.000, Gyro, 0.002
VelControlTask  ,11.435,Cmd,-0.002, Enc, 0.000, Gyro, 0.002
