VelControlTask  ,14.942,Enc, 0.000, Gyro,-0.001
VelControlTask  ,14.943,Enc, 0.000, Gyro,-0.004
VelControlTask  ,14.944,Enc, 0.000, Gyro,-0.001
VelControlTask  ,14.945,Enc, 0.000, Gyro, 0.000
VelControlTask  ,14.946,Enc, 0.000, Gyro,-0.001
VelControlTask  ,14.947,Enc, 0.000, Gyro,-0.002
VelControlTask  ,14.948,Enc, 0.000, Gyro,-0.001
VelControlTask  ,14.949,Enc, 0.000, Gyro,-0.001
VelControlTask  ,14.950,Enc, 0.000, Gyro,-0.001
VelControlTask  ,14.951,Enc, 0.000, Gyro, 0.000
VelControlTask  ,14.952,Enc, 0.000, Gyro, 0.001
VelControlTask  ,14.953,Enc, 0.000, Gyro, 0.001
VelControlTask  ,14.954,Enc, 0.000, Gyro,-0.002
VelControlTask  ,14.955,Enc, 0.000, Gyro,-0.003
VelControlTask  ,14.956,Enc, 0.000, Gyro,-0.001
VelControlTask  ,14.957,Enc, 0.000, Gyro,-0.002
VelControlTask  ,14.958,Enc, 0.000, Gyro,-0.001
VelControlTask  ,14.959,Enc, 0.000, Gyro, 0.000
VelControlTask  ,14.960,Enc, 0.000, Gyro, 0.002
VelControlTask  ,14.961,Enc, 0.000, Gyro, 0.001
VelControlTask  ,14.962,Enc, 0.000, Gyro, 0.001
VelControlTask  ,14.963,Enc, 0.000, Gyro,-0.002
VelControlTask  ,14.964,Enc, 0.000, Gyro,-0.003
VelControlTask  ,14.965,Enc, 0.000, Gyro, 0.000
VelControlTask  ,14.966,Enc, 0.000, Gyro, 0.001
VelControlTask  ,14.967,Enc, 0.000, Gyro,-0.001
VelControlTask  ,14.968,Enc, 0.000, Gyro,-0.001
VelControlTask  ,14.969,Enc, 0.000, Gyro, 0.000
VelControlTask  ,14.970,Enc, 0.000, Gyro, 0.000
VelControlTask  ,14.971,Enc, 0.000, Gyro,-0.001
VelControlTask  ,14.972,Enc, 0.000, Gyro,-0.002
VelControlTask  ,14.973,Enc, 0.000, Gyro,-0.003
VelControlTask  ,14.974,Enc, 0.000, Gyro,-0.002
VelControlTask  ,14.975,Enc, 0.000, Gyro, 0.000
VelControlTask  ,14.976,Enc, 0.000, Gyro,-0.001
VelControlTask  ,14.977,Enc, 0.000, Gyro,-0.002
VelControlTask  ,14.978,Enc, 0.000, Gyro,-0.002
VelControlTask  ,14.979,Enc, 0.000, Gyro,-0.001
VelControlTask  ,14.980,Enc, 0.000, Gyro, 0.001
VelControlTask  ,14.981,Enc, 0.000, Gyro, 0.001
VelControlTask  ,14.982,Enc, 0.000, Gyro, 0.001
VelControlTask  ,14.983,Enc, 0.000, Gyro, 0.001
VelControlTask  ,14.984,Enc, 0.000, Gyro, 0.002
VelControlTask  ,14.985,Enc, 0.000, Gyro, 0.000
VelControlTask  ,14.986,Enc, 0.000, Gyro,-0.002
VelControlTask  ,14.987,Enc, 0.000, Gyro,-0.001
VelControlTask  ,14.988,Enc, 0.000, Gyro,-0.002
VelControlTask  ,14.989,Enc, 0.000, Gyro,-0.002
VelControlTask  ,14.990,Enc, 0.000, Gyro,-0.001
VelControlTask  ,14.991,Enc, 0.000, Gyro, 0.000
VelControlTask  ,14.992,Enc, 0.000, Gyro,-0.001
VelControlTask  ,14.993,Enc, 0.000, Gyro, 0.000
